run,variant,model,fold,seed,window_accuracy,window_precision,window_recall,window_specificity,window_f1,window_auroc,window_tn,window_fp,window_fn,window_tp,window_loss,video_accuracy,video_precision,video_recall,video_specificity,video_f1,video_auroc,video_tn,video_fp,video_fn,video_tp,event_event_recall,event_detected_events,event_total_events,event_false_alarms,event_false_alarms_per_hour,event_mean_detection_delay_seconds,best_epoch
mask_ratio_020/masked_bimamba/fold_2/seed_42,mask_ratio_020,masked_bimamba,fold_2,seed_42,0.8617191671115857,0.5698689956331878,0.8080495356037152,0.8729032258064516,0.6683738796414852,0.9230120842904225,1353,197,62,261,0.06509875016683764,0.6507936507936508,0.5849056603773585,1.0,0.3125,0.738095238095238,0.969758064516129,10,22,0,31,1.0,31,31,36,296.83921209344936,0.12258064516129032,35
mask_ratio_020/masked_bimamba/fold_3/seed_2026,mask_ratio_020,masked_bimamba,fold_3,seed_2026,0.8759736369083283,0.5434083601286174,0.7222222222222222,0.9010452961672474,0.6201834862385321,0.873203490276661,1293,142,65,169,0.4871077095099162,0.7368421052631579,0.6578947368421053,0.9259259259259259,0.5666666666666667,0.7692307692307692,0.8530864197530863,17,13,2,25,0.8888888888888888,24,27,16,147.69230769230768,0.15000000000000002,71
mask_ratio_020/masked_bimamba/fold_3/seed_3407,mask_ratio_020,masked_bimamba,fold_3,seed_3407,0.8795686039544638,0.5544554455445545,0.717948717948718,0.9059233449477352,0.6256983240223464,0.8673813990887161,1300,135,66,168,0.2859014166486123,0.7719298245614035,0.6842105263157895,0.9629629629629629,0.6,0.7999999999999999,0.8691358024691357,18,12,1,26,0.9259259259259259,25,27,17,156.9230769230769,0.03200000000000002,41
mask_ratio_020/masked_bimamba/fold_3/seed_42,mask_ratio_020,masked_bimamba,fold_3,seed_42,0.8753744757339724,0.5411392405063291,0.7307692307692307,0.8989547038327527,0.6218181818181818,0.8650317162512284,1290,145,63,171,0.39778595322404353,0.7368421052631579,0.65,0.9629629629629629,0.5333333333333333,0.7761194029850746,0.8617283950617284,16,14,1,26,0.8888888888888888,24,27,21,193.84615384615384,0.12500000000000003,60
mask_ratio_030/masked_bimamba/fold_0/seed_2026,mask_ratio_030,masked_bimamba,fold_0,seed_2026,0.8563701923076923,0.6772334293948127,0.649171270718232,0.9139784946236559,0.6629055007052186,0.8402075854401643,1190,112,127,235,0.7862880638236203,0.7096774193548387,0.6511627906976745,0.9032258064516129,0.5161290322580645,0.7567567567567568,0.8283038501560874,16,15,3,28,0.9032258064516129,28,31,21,193.25153374233122,0.4357142857142856,70
mask_ratio_030/masked_bimamba/fold_0/seed_3407,mask_ratio_030,masked_bimamba,fold_0,seed_3407,0.8479567307692307,0.6561604584527221,0.6325966850828729,0.9078341013824884,0.6441631504922645,0.8315065644864255,1182,120,133,229,0.7414045485995232,0.7580645161290323,0.7,0.9032258064516129,0.6129032258064516,0.7887323943661972,0.8720083246618106,19,12,3,28,0.9032258064516129,28,31,14,128.83435582822082,0.5357142857142858,81
mask_ratio_030/masked_bimamba/fold_0/seed_42,mask_ratio_030,masked_bimamba,fold_0,seed_42,0.8515625,0.6549865229110512,0.6712707182320442,0.901689708141321,0.6630286493860846,0.8853548726566013,1174,128,119,243,0.22552904809708707,0.7258064516129032,0.6458333333333334,1.0,0.45161290322580644,0.7848101265822784,0.9125910509885536,14,17,0,31,1.0,31,31,22,202.45398773006127,0.4903225806451614,32
mask_ratio_030/masked_bimamba/fold_1/seed_2026,mask_ratio_030,masked_bimamba,fold_1,seed_2026,0.8201276755538865,0.4747663551401869,0.5619469026548672,0.8729081863410222,0.5146909827760892,0.7773421708833146,1930,281,198,254,0.3458973519130562,0.6282051282051282,0.5862068965517241,0.8717948717948718,0.38461538461538464,0.7010309278350514,0.7764628533859304,15,24,5,34,0.8461538461538461,33,39,38,224.40944881889772,0.25454545454545463,24
mask_ratio_030/masked_bimamba/fold_1/seed_3407,mask_ratio_030,masked_bimamba,fold_1,seed_3407,0.8253849042433345,0.48853615520282184,0.6128318584070797,0.8688376300316599,0.5436702649656526,0.813109132535232,1921,290,175,277,0.30761887666664756,0.6538461538461539,0.6,0.9230769230769231,0.38461538461538464,0.7272727272727274,0.8224852071005917,15,24,3,36,0.9230769230769231,36,39,32,188.97637795275597,0.26111111111111107,26
mask_ratio_030/masked_bimamba/fold_1/seed_42,mask_ratio_030,masked_bimamba,fold_1,seed_42,0.8205031918888471,0.47619047619047616,0.5752212389380531,0.8706467661691543,0.5210420841683367,0.7828076031747939,1925,286,192,260,0.6640958870880703,0.6282051282051282,0.5806451612903226,0.9230769230769231,0.3333333333333333,0.7128712871287128,0.777120315581854,13,26,3,36,0.9230769230769231,36,39,40,236.22047244094495,0.4055555555555555,79
mask_ratio_030/masked_bimamba/fold_2/seed_2026,mask_ratio_030,masked_bimamba,fold_2,seed_2026,0.8788040576615056,0.6311475409836066,0.7151702786377709,0.9129032258064517,0.6705370101596517,0.9110036951962448,1415,135,92,231,0.05389586668033938,0.7619047619047619,0.6904761904761905,0.9354838709677419,0.59375,0.7945205479452055,0.9435483870967742,19,13,2,29,0.9354838709677419,29,31,26,214.38387540082456,0.42068965517241375,22
