run,model,fold,seed,window_accuracy,window_precision,window_recall,window_specificity,window_f1,window_auroc,window_tn,window_fp,window_fn,window_tp,window_loss,video_accuracy,video_precision,video_recall,video_specificity,video_f1,video_auroc,video_tn,video_fp,video_fn,video_tp,event_event_recall,event_detected_events,event_total_events,event_false_alarms,event_false_alarms_per_hour,event_mean_detection_delay_seconds,best_epoch
te/fold_1/seed_42,te,fold_1,seed_42,0.8400300413067968,0.5205047318611987,0.7300884955752213,0.8625056535504296,0.6077348066298343,0.8536140696357314,1907,304,122,330,0.1185938291226479,0.6538461538461539,0.5909090909090909,1.0,0.3076923076923077,0.7428571428571429,0.8836291913214991,12,27,0,39,1.0,39,39,43,253.93700787401582,0.10769230769230766,95
te/fold_2/seed_2026,te,fold_2,seed_2026,0.9028296849973305,0.6698795180722892,0.8606811145510835,0.9116129032258065,0.7533875338753389,0.9463397583141916,1413,137,45,278,0.04054236791240329,0.6984126984126984,0.62,1.0,0.40625,0.7654320987654321,0.9727822580645161,13,19,0,31,1.0,31,31,30,247.36601007787448,0.06451612903225809,83
te/fold_2/seed_3407,te,fold_2,seed_3407,0.9167111585691404,0.7203166226912929,0.8452012383900929,0.9316129032258065,0.7777777777777778,0.9529531608908419,1444,106,50,273,0.03505537901183086,0.7301587301587301,0.6458333333333334,1.0,0.46875,0.7848101265822784,0.9828629032258065,15,17,0,31,1.0,31,31,26,214.38387540082456,0.13548387096774192,54
te/fold_2/seed_42,te,fold_2,seed_42,0.9071009076348104,0.6839506172839506,0.8575851393188855,0.9174193548387096,0.760989010989011,0.9442205133326675,1422,128,46,277,0.039848344141465264,0.7301587301587301,0.6458333333333334,1.0,0.46875,0.7848101265822784,0.9788306451612903,15,17,0,31,1.0,31,31,33,272.1026110856619,0.14193548387096772,97
te/fold_3/seed_2026,te,fold_3,seed_2026,0.8526063511084482,0.4827586206896552,0.717948717948718,0.8745644599303136,0.577319587628866,0.8706661901783854,1255,180,66,168,0.10489754039021917,0.6842105263157895,0.6046511627906976,0.9629629629629629,0.43333333333333335,0.7428571428571429,0.8518518518518517,13,17,1,26,0.9259259259259259,25,27,25,230.76923076923077,0.17600000000000002,94
te/fold_3/seed_3407,te,fold_3,seed_3407,0.8562013181545836,0.49096385542168675,0.6965811965811965,0.8822299651567944,0.5759717314487632,0.8820661723100748,1266,169,71,163,0.10360843574526675,0.7543859649122807,0.6585365853658537,1.0,0.5333333333333333,0.7941176470588235,0.8814814814814815,16,14,0,27,1.0,27,27,20,184.6153846153846,0.14814814814814814,99
te/fold_3/seed_42,te,fold_3,seed_42,0.8268424206111444,0.43707093821510296,0.8162393162393162,0.8285714285714286,0.5692995529061102,0.867816194645463,1189,246,43,191,0.1108389363237453,0.6666666666666666,0.5869565217391305,1.0,0.36666666666666664,0.7397260273972603,0.8679012345679011,11,19,0,27,1.0,27,27,28,258.46153846153845,-0.037037037037037035,100
unimamba/fold_0/seed_2026,unimamba,fold_0,seed_2026,0.8659855769230769,0.7026239067055393,0.6657458563535912,0.9216589861751152,0.6836879432624113,0.8582758357308349,1200,102,121,241,0.17542469835070035,0.7096774193548387,0.6382978723404256,0.967741935483871,0.45161290322580644,0.7692307692307693,0.8616024973985432,14,17,1,30,0.967741935483871,30,31,22,202.45398773006127,0.4666666666666667,53
unimamba/fold_0/seed_3407,unimamba,fold_0,seed_3407,0.8377403846153846,0.6138613861386139,0.6850828729281768,0.880184331797235,0.6475195822454308,0.8476249883307448,1146,156,114,248,0.18953550381299394,0.7419354838709677,0.6595744680851063,1.0,0.4838709677419355,0.7948717948717948,0.899063475546306,15,16,0,31,1.0,31,31,23,211.65644171779135,0.4709677419354838,55
unimamba/fold_0/seed_42,unimamba,fold_0,seed_42,0.8599759615384616,0.6577017114914425,0.7430939226519337,0.8924731182795699,0.6977950713359274,0.8741481443762676,1162,140,93,269,0.1815538193242481,0.6612903225806451,0.6,0.967741935483871,0.3548387096774194,0.7407407407407407,0.8595213319458898,11,20,1,30,0.967741935483871,30,31,24,220.8588957055214,0.41333333333333344,79
unimamba/fold_1/seed_2026,unimamba,fold_1,seed_2026,0.8475403680060083,0.541970802919708,0.6570796460176991,0.8864767073722297,0.5940000000000001,0.8373248399995197,1960,251,155,297,0.15997413332933239,0.6794871794871795,0.6166666666666667,0.9487179487179487,0.41025641025641024,0.7474747474747475,0.8698224852071006,16,23,2,37,0.9230769230769231,36,39,34,200.78740157480323,0.17777777777777773,54
unimamba/fold_1/seed_3407,unimamba,fold_1,seed_3407,0.8655651520841157,0.6053811659192825,0.5973451327433629,0.9203980099502488,0.6013363028953229,0.8444723286223748,2035,176,182,270,0.28485550320561426,0.7307692307692307,0.6666666666666666,0.9230769230769231,0.5384615384615384,0.7741935483870968,0.8547008547008547,21,18,3,36,0.9230769230769231,36,39,24,141.73228346456696,0.461111111111111,76
unimamba/fold_1/seed_42,unimamba,fold_1,seed_42,0.8238828389034923,0.48613376835236544,0.6592920353982301,0.8575305291723202,0.5596244131455399,0.8268282481398319,1896,315,154,298,0.1264057637066757,0.6538461538461539,0.603448275862069,0.8974358974358975,0.41025641025641024,0.7216494845360825,0.8369493754109137,16,23,4,35,0.8974358974358975,35,39,40,236.22047244094495,0.13142857142857142,64
unimamba/fold_2/seed_2026,unimamba,fold_2,seed_2026,0.8900160170848905,0.6389548693586699,0.8328173374613003,0.9019354838709678,0.7231182795698924,0.9499930090881854,1398,152,54,269,0.05120058477449977,0.6825396825396826,0.6122448979591837,0.967741935483871,0.40625,0.75,0.9455645161290323,13,19,1,30,0.967741935483871,30,31,34,280.3481447549244,0.0666666666666667,84
unimamba/fold_2/seed_3407,unimamba,fold_2,seed_3407,0.8820074746396156,0.6231884057971014,0.7987616099071208,0.8993548387096775,0.7001356852103121,0.9306082093278736,1394,156,65,258,0.047015703373250006,0.6984126984126984,0.62,1.0,0.40625,0.7654320987654321,0.9727822580645161,13,19,0,31,1.0,31,31,33,272.1026110856619,0.01935483870967743,64
unimamba/fold_2/seed_42,unimamba,fold_2,seed_42,0.8942872397223706,0.6649076517150396,0.7801857585139319,0.9180645161290323,0.7179487179487178,0.9390652152202139,1423,127,71,252,0.051949935717616594,0.7142857142857143,0.6326530612244898,1.0,0.4375,0.775,0.9566532258064516,14,18,0,31,1.0,31,31,29,239.120476408612,0.2774193548387097,96
unimamba/fold_3/seed_2026,unimamba,fold_3,seed_2026,0.8532055122828041,0.484149855907781,0.717948717948718,0.8752613240418119,0.5783132530120483,0.8330087256916525,1256,179,66,168,0.155837663312634,0.7017543859649122,0.6190476190476191,0.9629629629629629,0.4666666666666667,0.7536231884057971,0.8271604938271605,14,16,1,26,0.9259259259259259,25,27,19,175.3846153846154,0.06400000000000002,62
unimamba/fold_3/seed_3407,unimamba,fold_3,seed_3407,0.8208508088675854,0.4213075060532688,0.7435897435897436,0.8334494773519163,0.5378670788253478,0.8466303344352125,1196,239,60,174,0.22255696023218982,0.7192982456140351,0.6341463414634146,0.9629629629629629,0.5,0.7647058823529412,0.8333333333333333,15,15,1,26,0.9629629629629629,26,27,18,166.15384615384616,-0.03076923076923077,99
unimamba/fold_3/seed_42,unimamba,fold_3,seed_42,0.8472139005392451,0.4700854700854701,0.7051282051282052,0.8703832752613241,0.5641025641025641,0.8480657553828286,1249,186,69,165,0.17700948876899614,0.7017543859649122,0.6190476190476191,0.9629629629629629,0.4666666666666667,0.7536231884057971,0.8098765432098765,14,16,1,26,0.9259259259259259,25,27,22,203.07692307692307,0.18400000000000005,88
